Starting up http-server, serving .

http-server version: 14.1.1

http-server settings: 
CORS: disabled
Cache: -1 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:5173
Hit CTRL-C to stop the server

[2026-09-11T03:55:13.403Z]  "GET /student-attendance-system/pages/student-dashboard.html" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.9444"
[2026-09-11T04:22:59.098Z]  "GET /student-attendance-system/js/ui.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:22:59.100Z]  "GET /student-attendance-system/js/auth.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:22:59.104Z]  "GET /student-attendance-system/js/student.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:22:59.111Z]  "GET /student-attendance-system/css/variables.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:22:59.113Z]  "GET /student-attendance-system/css/reset.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:22:59.115Z]  "GET /student-attendance-system/css/layout.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:22:59.116Z]  "GET /student-attendance-system/css/student-dashboard.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:22:59.124Z]  "GET /student-attendance-system/css/role-dashboard.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:22:59.127Z]  "GET /student-attendance-system/css/kiosk.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.826Z]  "GET /student-attendance-system/pages/kiosk.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.864Z]  "GET /student-attendance-system/css/styles.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.866Z]  "GET /student-attendance-system/css/kiosk.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.873Z]  "GET /student-attendance-system/css/dark-style.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.881Z]  "GET /student-attendance-system/js/data.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.885Z]  "GET /student-attendance-system/js/ui.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.886Z]  "GET /student-attendance-system/js/fingerprint-scanner.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.891Z]  "GET /student-attendance-system/js/kiosk.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.892Z]  "GET /student-attendance-system/css/variables.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.893Z]  "GET /student-attendance-system/css/reset.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.894Z]  "GET /student-attendance-system/css/layout.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.899Z]  "GET /student-attendance-system/css/student-dashboard.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:24:27.901Z]  "GET /student-attendance-system/css/role-dashboard.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.341Z]  "GET /student-attendance-system/pages/login.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.366Z]  "GET /student-attendance-system/css/styles.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.369Z]  "GET /student-attendance-system/css/auth.css?v=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.372Z]  "GET /student-attendance-system/css/dark-style.css?v=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.375Z]  "GET /student-attendance-system/js/data.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.377Z]  "GET /student-attendance-system/js/auth.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.383Z]  "GET /student-attendance-system/js/ui.js?v=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.387Z]  "GET /student-attendance-system/css/variables.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.388Z]  "GET /student-attendance-system/css/reset.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.390Z]  "GET /student-attendance-system/css/layout.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.392Z]  "GET /student-attendance-system/css/student-dashboard.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.397Z]  "GET /student-attendance-system/css/role-dashboard.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.398Z]  "GET /student-attendance-system/css/kiosk.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.413Z]  "GET /student-attendance-system/images/LOGIN4.webp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.414Z]  "GET /student-attendance-system/images/LOGIN.webp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.415Z]  "GET /student-attendance-system/images/LOGIN2.webp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
[2026-09-11T04:25:43.416Z]  "GET /student-attendance-system/images/LOGIN3.webp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
